ジョブ名,実行ノード,ポート番号,実行ファイル,実行時引数,実行時環境変数,作業ディレクトリ,警告終了コード下限,警告終了出力パターン,異常終了コード下限,異常終了出力パターン,実行タイムアウト時間
usevar,localhost,2015,usevar.sh,$MSJOBNET:ID$,FLOWSD=$MSJOBNET:SD$+SSROOT=$SSROOT$+MEPATH=$MEPATH$+SEPATH=$SEPATH$+JOUT=$MJcap0011:OUT$+JRC=$MJcap0021:RC$+JSD=$MJcap1031:SD$+JED=$MJcap1041:ED$,,,,,,
cap0001,localhost,2015,rc.sh,1,,,,,,,
cap0002,localhost,2015,rc.sh,2,,,,,,,
cap0003,localhost,2015,rc.sh,3,,,,,,,
cap0004,localhost,2015,rc.sh,4,,,,,,,
cap0005,localhost,2015,rc.sh,5,,,,,,,
cap0006,localhost,2015,rc.sh,6,,,,,,,
cap0007,localhost,2015,rc.sh,7,,,,,,,
cap0008,localhost,2015,rc.sh,8,,,,,,,
cap0009,localhost,2015,rc.sh,9,,,,,,,
cap0010,localhost,2015,rc.sh,10,,,,,,,
cap0011,{{.Containers 0}},2015,varout.sh,cap0011out,,,,,,,
cap0012,{{.Containers 0}},2015,rc.sh,12,,,,,,,
cap0013,{{.Containers 0}},2015,rc.sh,13,,,,,,,
cap0014,{{.Containers 0}},2015,rc.sh,14,,,,,,,
cap0015,{{.Containers 0}},2015,rc.sh,15,,,,,,,
cap0016,{{.Containers 0}},2015,rc.sh,16,,,,,,,
cap0017,{{.Containers 0}},2015,rc.sh,17,,,,,,,
cap0018,{{.Containers 0}},2015,rc.sh,18,,,,,,,
cap0019,{{.Containers 0}},2015,rc.sh,19,,,,,,,
cap0020,{{.Containers 0}},2015,rc.sh,20,,,,,,,
cap0021,{{.Containers 1}},2015,rc.sh,21,,,,,,,
cap0022,{{.Containers 1}},2015,rc.sh,22,,,,,,,
cap0023,{{.Containers 1}},2015,rc.sh,23,,,,,,,
cap0024,{{.Containers 1}},2015,rc.sh,24,,,,,,,
cap0025,{{.Containers 1}},2015,rc.sh,25,,,,,,,
cap0026,{{.Containers 1}},2015,rc.sh,26,,,,,,,
cap0027,{{.Containers 1}},2015,rc.sh,27,,,,,,,
cap0028,{{.Containers 1}},2015,rc.sh,28,,,,,,,
cap0029,{{.Containers 1}},2015,rc.sh,29,,,,,,,
cap0030,{{.Containers 1}},2015,rc.sh,30,,,,,,,
cap0031,{{.Containers 2}},2015,rc.sh,31,,,,,,,
cap0032,{{.Containers 2}},2015,rc.sh,32,,,,,,,
cap0033,{{.Containers 2}},2015,rc.sh,33,,,,,,,
cap0034,{{.Containers 2}},2015,rc.sh,34,,,,,,,
cap0035,{{.Containers 2}},2015,rc.sh,35,,,,,,,
cap0036,{{.Containers 2}},2015,rc.sh,36,,,,,,,
cap0037,{{.Containers 2}},2015,rc.sh,37,,,,,,,
cap0038,{{.Containers 2}},2015,rc.sh,38,,,,,,,
cap0039,{{.Containers 2}},2015,rc.sh,39,,,,,,,
cap0040,{{.Containers 2}},2015,rc.sh,40,,,,,,,
cap0041,{{.Containers 3}},2015,rc.sh,41,,,,,,,
cap0042,{{.Containers 3}},2015,rc.sh,42,,,,,,,
cap0043,{{.Containers 3}},2015,rc.sh,43,,,,,,,
cap0044,{{.Containers 3}},2015,rc.sh,44,,,,,,,
cap0045,{{.Containers 3}},2015,rc.sh,45,,,,,,,
cap0046,{{.Containers 3}},2015,rc.sh,46,,,,,,,
cap0047,{{.Containers 3}},2015,rc.sh,47,,,,,,,
cap0048,{{.Containers 3}},2015,rc.sh,48,,,,,,,
cap0049,{{.Containers 3}},2015,rc.sh,49,,,,,,,
cap0050,{{.Containers 3}},2015,rc.sh,50,,,,,,,
cap0051,{{.Containers 4}},2015,rc.sh,51,,,,,,,
cap0052,{{.Containers 4}},2015,rc.sh,52,,,,,,,
cap0053,{{.Containers 4}},2015,rc.sh,53,,,,,,,
cap0054,{{.Containers 4}},2015,rc.sh,54,,,,,,,
cap0055,{{.Containers 4}},2015,rc.sh,55,,,,,,,
cap0056,{{.Containers 4}},2015,rc.sh,56,,,,,,,
cap0057,{{.Containers 4}},2015,rc.sh,57,,,,,,,
cap0058,{{.Containers 4}},2015,rc.sh,58,,,,,,,
cap0059,{{.Containers 4}},2015,rc.sh,59,,,,,,,
cap0060,{{.Containers 4}},2015,rc.sh,60,,,,,,,
cap0061,{{.Containers 5}},2015,rc.sh,61,,,,,,,
cap0062,{{.Containers 5}},2015,rc.sh,62,,,,,,,
cap0063,{{.Containers 5}},2015,rc.sh,63,,,,,,,
cap0064,{{.Containers 5}},2015,rc.sh,64,,,,,,,
cap0065,{{.Containers 5}},2015,rc.sh,65,,,,,,,
cap0066,{{.Containers 5}},2015,rc.sh,66,,,,,,,
cap0067,{{.Containers 5}},2015,rc.sh,67,,,,,,,
cap0068,{{.Containers 5}},2015,rc.sh,68,,,,,,,
cap0069,{{.Containers 5}},2015,rc.sh,69,,,,,,,
cap0070,{{.Containers 5}},2015,rc.sh,70,,,,,,,
cap0071,{{.Containers 6}},2015,rc.sh,71,,,,,,,
cap0072,{{.Containers 6}},2015,rc.sh,72,,,,,,,
cap0073,{{.Containers 6}},2015,rc.sh,73,,,,,,,
cap0074,{{.Containers 6}},2015,rc.sh,74,,,,,,,
cap0075,{{.Containers 6}},2015,rc.sh,75,,,,,,,
cap0076,{{.Containers 6}},2015,rc.sh,76,,,,,,,
cap0077,{{.Containers 6}},2015,rc.sh,77,,,,,,,
cap0078,{{.Containers 6}},2015,rc.sh,78,,,,,,,
cap0079,{{.Containers 6}},2015,rc.sh,79,,,,,,,
cap0080,{{.Containers 6}},2015,rc.sh,80,,,,,,,
cap0081,{{.Containers 7}},2015,rc.sh,81,,,,,,,
cap0082,{{.Containers 7}},2015,rc.sh,82,,,,,,,
cap0083,{{.Containers 7}},2015,rc.sh,83,,,,,,,
cap0084,{{.Containers 7}},2015,rc.sh,84,,,,,,,
cap0085,{{.Containers 7}},2015,rc.sh,85,,,,,,,
cap0086,{{.Containers 7}},2015,rc.sh,86,,,,,,,
cap0087,{{.Containers 7}},2015,rc.sh,87,,,,,,,
cap0088,{{.Containers 7}},2015,rc.sh,88,,,,,,,
cap0089,{{.Containers 7}},2015,rc.sh,89,,,,,,,
cap0090,{{.Containers 7}},2015,rc.sh,90,,,,,,,
cap0091,{{.Containers 8}},2015,rc.sh,91,,,,,,,
cap0092,{{.Containers 8}},2015,rc.sh,92,,,,,,,
cap0093,{{.Containers 8}},2015,rc.sh,93,,,,,,,
cap0094,{{.Containers 8}},2015,rc.sh,94,,,,,,,
cap0095,{{.Containers 8}},2015,rc.sh,95,,,,,,,
cap0096,{{.Containers 8}},2015,rc.sh,96,,,,,,,
cap0097,{{.Containers 8}},2015,rc.sh,97,,,,,,,
cap0098,{{.Containers 8}},2015,rc.sh,98,,,,,,,
cap0099,{{.Containers 8}},2015,rc.sh,99,,,,,,,
cap0100,{{.Containers 8}},2015,rc.sh,100,,,,,,,
cap0101,{{.Containers 9}},2015,rc.sh,101,,,,,,,
cap0102,{{.Containers 9}},2015,rc.sh,102,,,,,,,
cap0103,{{.Containers 9}},2015,rc.sh,103,,,,,,,
cap0104,{{.Containers 9}},2015,rc.sh,104,,,,,,,
cap0105,{{.Containers 9}},2015,rc.sh,105,,,,,,,
cap0106,{{.Containers 9}},2015,rc.sh,106,,,,,,,
cap0107,{{.Containers 9}},2015,rc.sh,107,,,,,,,
cap0108,{{.Containers 9}},2015,rc.sh,108,,,,,,,
cap0109,{{.Containers 9}},2015,rc.sh,109,,,,,,,
cap0110,{{.Containers 9}},2015,rc.sh,110,,,,,,,
cap0111,{{.Containers 10}},2015,rc.sh,111,,,,,,,
cap0112,{{.Containers 10}},2015,rc.sh,112,,,,,,,
cap0113,{{.Containers 10}},2015,rc.sh,113,,,,,,,
cap0114,{{.Containers 10}},2015,rc.sh,114,,,,,,,
cap0115,{{.Containers 10}},2015,rc.sh,115,,,,,,,
cap0116,{{.Containers 10}},2015,rc.sh,116,,,,,,,
cap0117,{{.Containers 10}},2015,rc.sh,117,,,,,,,
cap0118,{{.Containers 10}},2015,rc.sh,118,,,,,,,
cap0119,{{.Containers 10}},2015,rc.sh,119,,,,,,,
cap0120,{{.Containers 10}},2015,rc.sh,120,,,,,,,
cap0121,{{.Containers 11}},2015,rc.sh,121,,,,,,,
cap0122,{{.Containers 11}},2015,rc.sh,122,,,,,,,
cap0123,{{.Containers 11}},2015,rc.sh,123,,,,,,,
cap0124,{{.Containers 11}},2015,rc.sh,124,,,,,,,
cap0125,{{.Containers 11}},2015,rc.sh,125,,,,,,,
cap0126,{{.Containers 11}},2015,rc.sh,126,,,,,,,
cap0127,{{.Containers 11}},2015,rc.sh,127,,,,,,,
cap0128,{{.Containers 11}},2015,rc.sh,128,,,,,,,
cap0129,{{.Containers 11}},2015,rc.sh,129,,,,,,,
cap0130,{{.Containers 11}},2015,rc.sh,130,,,,,,,
cap0131,{{.Containers 12}},2015,rc.sh,131,,,,,,,
cap0132,{{.Containers 12}},2015,rc.sh,132,,,,,,,
cap0133,{{.Containers 12}},2015,rc.sh,133,,,,,,,
cap0134,{{.Containers 12}},2015,rc.sh,134,,,,,,,
cap0135,{{.Containers 12}},2015,rc.sh,135,,,,,,,
cap0136,{{.Containers 12}},2015,rc.sh,136,,,,,,,
cap0137,{{.Containers 12}},2015,rc.sh,137,,,,,,,
cap0138,{{.Containers 12}},2015,rc.sh,138,,,,,,,
cap0139,{{.Containers 12}},2015,rc.sh,139,,,,,,,
cap0140,{{.Containers 12}},2015,rc.sh,140,,,,,,,
cap0141,{{.Containers 13}},2015,rc.sh,141,,,,,,,
cap0142,{{.Containers 13}},2015,rc.sh,142,,,,,,,
cap0143,{{.Containers 13}},2015,rc.sh,143,,,,,,,
cap0144,{{.Containers 13}},2015,rc.sh,144,,,,,,,
cap0145,{{.Containers 13}},2015,rc.sh,145,,,,,,,
cap0146,{{.Containers 13}},2015,rc.sh,146,,,,,,,
cap0147,{{.Containers 13}},2015,rc.sh,147,,,,,,,
cap0148,{{.Containers 13}},2015,rc.sh,148,,,,,,,
